file_name,frame,center_x,center_y,aspect_ratio,velocity_x,velocity_y,acceleration_x,acceleration_y,fall_label
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,1,70.5,77.5,0.568,0.0,0.0,0.0,0.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,2,67.0,75.5,0.56,-3.5,-2.0,-3.5,-2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,3,69.0,76.0,0.5967741935483871,2.0,0.5,5.5,2.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,4,68.0,77.5,0.5354330708661418,-1.0,1.5,-3.0,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,5,68.5,76.5,0.5813953488372093,0.5,-1.0,1.5,-2.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,6,68.5,76.5,0.552,0.0,0.0,-0.5,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,7,66.0,75.0,0.6290322580645161,-2.5,-1.5,-2.5,-1.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,8,69.0,76.5,0.5669291338582677,3.0,1.5,5.5,3.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,9,68.5,80.0,0.5158730158730159,-0.5,3.5,-3.5,2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,10,70.5,77.5,0.5590551181102362,2.0,-2.5,2.5,-6.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,11,70.5,77.5,0.5590551181102362,0.0,0.0,-2.0,2.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,12,69.5,78.0,0.5634920634920635,-1.0,0.5,-1.0,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,13,70.5,75.5,0.6198347107438017,1.0,-2.5,2.0,-3.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,14,70.0,76.0,0.6031746031746031,-0.5,0.5,-1.5,3.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,15,71.0,79.0,0.5230769230769231,1.0,3.0,1.5,2.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,16,70.0,77.5,0.5354330708661418,-1.0,-1.5,-2.0,-4.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,17,70.0,77.5,0.592,0.0,0.0,1.0,1.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,18,70.0,79.5,0.5984251968503937,0.0,2.0,0.0,2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,19,73.5,77.0,0.5564516129032258,3.5,-2.5,3.5,-4.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,20,70.5,75.5,0.536,-3.0,-1.5,-6.5,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,21,68.0,80.0,0.5555555555555556,-2.5,4.5,0.5,6.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,22,71.0,77.5,0.544,3.0,-2.5,5.5,-7.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,23,67.0,79.0,0.5873015873015873,-4.0,1.5,-7.0,4.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,24,70.5,79.5,0.5702479338842975,3.5,0.5,7.5,-1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,25,69.5,78.0,0.5546875,-1.0,-1.5,-4.5,-2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,26,70.0,77.0,0.5573770491803278,0.5,-1.0,1.5,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,27,70.5,76.5,0.5748031496062992,0.5,-0.5,0.0,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,28,70.0,79.5,0.592,-0.5,3.0,-1.0,3.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,29,70.0,79.5,0.592,0.0,0.0,0.5,-3.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,30,70.0,79.5,0.592,0.0,0.0,0.0,0.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,31,70.0,80.5,0.5190839694656488,0.0,1.0,0.0,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,32,69.5,79.5,0.5275590551181102,-0.5,-1.0,-0.5,-2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,33,69.5,79.5,0.5275590551181102,0.0,0.0,0.5,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,34,71.0,81.0,0.515625,1.5,1.5,1.5,1.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,35,71.0,81.0,0.515625,0.0,0.0,-1.5,-1.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,36,70.5,81.5,0.4883720930232558,-0.5,0.5,-0.5,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,37,70.5,81.5,0.4883720930232558,0.0,0.0,0.5,-0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,38,75.0,82.0,0.5555555555555556,4.5,0.5,4.5,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,39,73.0,78.0,0.46153846153846156,-2.0,-4.0,-6.5,-4.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,40,72.5,78.5,0.5121951219512195,-0.5,0.5,1.5,4.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,41,72.5,78.5,0.5121951219512195,0.0,0.0,0.5,-0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,42,74.0,78.0,0.5303030303030303,1.5,-0.5,1.5,-0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,43,74.0,78.0,0.5303030303030303,0.0,0.0,-1.5,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,44,77.5,78.0,0.44696969696969696,3.5,0.0,3.5,0.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,45,77.5,78.0,0.44696969696969696,0.0,0.0,-3.5,0.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,46,77.5,80.0,0.41044776119402987,0.0,2.0,0.0,2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,47,81.0,80.0,0.42424242424242425,3.5,0.0,3.5,-2.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,48,81.0,80.0,0.42424242424242425,0.0,0.0,-3.5,0.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,49,80.5,79.5,0.4306569343065693,-0.5,-0.5,-0.5,-0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,50,80.5,79.5,0.4306569343065693,0.0,0.0,0.5,0.5,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,51,80.0,80.5,0.5112781954887218,-0.5,1.0,-0.5,1.0,0
C:/Users/Admin/Desktop/nofall/annotation_files\video1.txt,52,85.5,81.0,0.4552238805970149,5.5,0.5,6.0,-0.5,0
